
Name                                        PublisherId   Category    NonRemovable
----                                        -----------   --------    ------------
1527c705-839a-4832-9118-54d4Bd6a0c89        cw5n1h2txyewy System              True
c5e2524a-ea46-4f67-841f-6a9465d9d515        cw5n1h2txyewy System              True
E2A4F912-2574-4A75-9BB0-0D023378592B        cw5n1h2txyewy System              True
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE        cw5n1h2txyewy System              True
Microsoft.549981C3F5F10                     8wekyb3d8bbwe Provisioned        False
Microsoft.AAD.BrokerPlugin                  cw5n1h2txyewy System              True
Microsoft.AccountsControl                   cw5n1h2txyewy System              True
Microsoft.AsyncTextService                  8wekyb3d8bbwe System              True
Microsoft.BingWeather                       8wekyb3d8bbwe Provisioned        False
Microsoft.BioEnrollment                     cw5n1h2txyewy System              True
Microsoft.CredDialogHost                    cw5n1h2txyewy System              True
Microsoft.DesktopAppInstaller               8wekyb3d8bbwe Provisioned        False
Microsoft.ECApp                             8wekyb3d8bbwe System              True
Microsoft.GetHelp                           8wekyb3d8bbwe Provisioned        False
Microsoft.Getstarted                        8wekyb3d8bbwe Provisioned        False
Microsoft.HEIFImageExtension                8wekyb3d8bbwe Provisioned        False
Microsoft.LockApp                           cw5n1h2txyewy System              True
Microsoft.Microsoft3DViewer                 8wekyb3d8bbwe Provisioned        False
Microsoft.MicrosoftEdge                     8wekyb3d8bbwe System              True
Microsoft.MicrosoftEdge.Stable              8wekyb3d8bbwe Provisioned        False
Microsoft.MicrosoftEdgeDevToolsClient       8wekyb3d8bbwe System              True
Microsoft.MicrosoftOfficeHub                8wekyb3d8bbwe Provisioned        False
Microsoft.MicrosoftSolitaireCollection      8wekyb3d8bbwe Provisioned        False
Microsoft.MicrosoftStickyNotes              8wekyb3d8bbwe Provisioned        False
Microsoft.MixedReality.Portal               8wekyb3d8bbwe Provisioned        False
Microsoft.MSPaint                           8wekyb3d8bbwe Provisioned        False
Microsoft.Office.OneNote                    8wekyb3d8bbwe Provisioned        False
Microsoft.People                            8wekyb3d8bbwe Provisioned        False
Microsoft.ScreenSketch                      8wekyb3d8bbwe Provisioned        False
Microsoft.SkypeApp                          kzf8qxf38zg5c Provisioned        False
Microsoft.StorePurchaseApp                  8wekyb3d8bbwe Provisioned        False
Microsoft.VCLibs.140.00                     8wekyb3d8bbwe Provisioned        False
Microsoft.VP9VideoExtensions                8wekyb3d8bbwe Provisioned        False
Microsoft.Wallet                            8wekyb3d8bbwe Provisioned        False
Microsoft.WebMediaExtensions                8wekyb3d8bbwe Provisioned        False
Microsoft.WebpImageExtension                8wekyb3d8bbwe Provisioned        False
Microsoft.Win32WebViewHost                  cw5n1h2txyewy System              True
Microsoft.Windows.Apprep.ChxApp             cw5n1h2txyewy System              True
Microsoft.Windows.AssignedAccessLockApp     cw5n1h2txyewy System              True
Microsoft.Windows.CallingShellApp           cw5n1h2txyewy System              True
Microsoft.Windows.CapturePicker             cw5n1h2txyewy System              True
Microsoft.Windows.CloudExperienceHost       cw5n1h2txyewy System              True
Microsoft.Windows.ContentDeliveryManager    cw5n1h2txyewy System              True
Microsoft.Windows.NarratorQuickStart        8wekyb3d8bbwe System              True
Microsoft.Windows.OOBENetworkCaptivePortal  cw5n1h2txyewy System              True
Microsoft.Windows.OOBENetworkConnectionFlow cw5n1h2txyewy System              True
Microsoft.Windows.ParentalControls          cw5n1h2txyewy System              True
Microsoft.Windows.PeopleExperienceHost      cw5n1h2txyewy System              True
Microsoft.Windows.Photos                    8wekyb3d8bbwe Provisioned        False
Microsoft.Windows.PinningConfirmationDialog cw5n1h2txyewy System              True
Microsoft.Windows.Search                    cw5n1h2txyewy System              True
Microsoft.Windows.SecHealthUI               cw5n1h2txyewy System              True
Microsoft.Windows.SecureAssessmentBrowser   cw5n1h2txyewy System              True
Microsoft.Windows.ShellExperienceHost       cw5n1h2txyewy System              True
Microsoft.Windows.StartMenuExperienceHost   cw5n1h2txyewy System              True
Microsoft.Windows.XGpuEjectDialog           cw5n1h2txyewy System              True
Microsoft.WindowsAlarms                     8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsCalculator                 8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsCamera                     8wekyb3d8bbwe Provisioned        False
microsoft.windowscommunicationsapps         8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsFeedbackHub                8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsMaps                       8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsSoundRecorder              8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsStore                      8wekyb3d8bbwe Provisioned        False
Microsoft.Xbox.TCUI                         8wekyb3d8bbwe Provisioned        False
Microsoft.XboxApp                           8wekyb3d8bbwe Provisioned        False
Microsoft.XboxGameCallableUI                cw5n1h2txyewy System              True
Microsoft.XboxGameOverlay                   8wekyb3d8bbwe Provisioned        False
Microsoft.XboxGamingOverlay                 8wekyb3d8bbwe Provisioned        False
Microsoft.XboxIdentityProvider              8wekyb3d8bbwe Provisioned        False
Microsoft.XboxSpeechToTextOverlay           8wekyb3d8bbwe Provisioned        False
Microsoft.YourPhone                         8wekyb3d8bbwe Provisioned        False
Microsoft.ZuneMusic                         8wekyb3d8bbwe Provisioned        False
Microsoft.ZuneVideo                         8wekyb3d8bbwe Provisioned        False
MicrosoftWindows.Client.CBS                 cw5n1h2txyewy System              True
MicrosoftWindows.UndockedDevKit             cw5n1h2txyewy System              True
NcsiUwpApp                                  8wekyb3d8bbwe System              True
Windows.CBSPreview                          cw5n1h2txyewy System              True
windows.immersivecontrolpanel               cw5n1h2txyewy System              True
Windows.PrintDialog                         cw5n1h2txyewy System              True


