
Name                                           PublisherId   Category    NonRemovable
----                                           -----------   --------    ------------
1527c705-839a-4832-9118-54d4Bd6a0c89           cw5n1h2txyewy System              True
c5e2524a-ea46-4f67-841f-6a9465d9d515           cw5n1h2txyewy System              True
Clipchamp.Clipchamp                            yxz26nhyzhsrt Provisioned        False
E2A4F912-2574-4A75-9BB0-0D023378592B           cw5n1h2txyewy System              True
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE           cw5n1h2txyewy System              True
Microsoft.AAD.BrokerPlugin                     cw5n1h2txyewy System              True
Microsoft.AccountsControl                      cw5n1h2txyewy System              True
Microsoft.ApplicationCompatibilityEnhancements 8wekyb3d8bbwe Provisioned        False
Microsoft.AsyncTextService                     8wekyb3d8bbwe System              True
Microsoft.AV1VideoExtension                    8wekyb3d8bbwe Provisioned        False
Microsoft.AVCEncoderVideoExtension             8wekyb3d8bbwe Provisioned        False
Microsoft.BingNews                             8wekyb3d8bbwe Provisioned        False
Microsoft.BingSearch                           8wekyb3d8bbwe Provisioned        False
Microsoft.BingWeather                          8wekyb3d8bbwe Provisioned        False
Microsoft.BioEnrollment                        cw5n1h2txyewy System              True
Microsoft.Copilot                              8wekyb3d8bbwe Installed          False
Microsoft.CredDialogHost                       cw5n1h2txyewy System              True
Microsoft.DesktopAppInstaller                  8wekyb3d8bbwe Provisioned         True
Microsoft.ECApp                                8wekyb3d8bbwe System              True
Microsoft.GamingApp                            8wekyb3d8bbwe Provisioned        False
Microsoft.GetHelp                              8wekyb3d8bbwe Provisioned        False
Microsoft.HEIFImageExtension                   8wekyb3d8bbwe Provisioned        False
Microsoft.HEVCVideoExtension                   8wekyb3d8bbwe Provisioned        False
Microsoft.LockApp                              cw5n1h2txyewy System              True
Microsoft.MicrosoftEdge.Stable                 8wekyb3d8bbwe Provisioned        False
Microsoft.MicrosoftEdgeDevToolsClient          8wekyb3d8bbwe System              True
Microsoft.MicrosoftOfficeHub                   8wekyb3d8bbwe Provisioned        False
Microsoft.MicrosoftSolitaireCollection         8wekyb3d8bbwe Provisioned        False
Microsoft.MicrosoftStickyNotes                 8wekyb3d8bbwe Provisioned        False
Microsoft.MPEG2VideoExtension                  8wekyb3d8bbwe Provisioned        False
Microsoft.OutlookForWindows                    8wekyb3d8bbwe Provisioned        False
Microsoft.Paint                                8wekyb3d8bbwe Provisioned        False
Microsoft.PowerAutomateDesktop                 8wekyb3d8bbwe Provisioned        False
Microsoft.RawImageExtension                    8wekyb3d8bbwe Provisioned        False
Microsoft.ScreenSketch                         8wekyb3d8bbwe Provisioned        False
Microsoft.SecHealthUI                          8wekyb3d8bbwe Provisioned         True
Microsoft.StorePurchaseApp                     8wekyb3d8bbwe Provisioned        False
Microsoft.Todos                                8wekyb3d8bbwe Provisioned        False
Microsoft.VP9VideoExtensions                   8wekyb3d8bbwe Provisioned        False
Microsoft.WebMediaExtensions                   8wekyb3d8bbwe Provisioned        False
Microsoft.WebpImageExtension                   8wekyb3d8bbwe Provisioned        False
Microsoft.WidgetsPlatformRuntime               8wekyb3d8bbwe Installed          False
Microsoft.Win32WebViewHost                     cw5n1h2txyewy System              True
Microsoft.Windows.Apprep.ChxApp                cw5n1h2txyewy System              True
Microsoft.Windows.AssignedAccessLockApp        cw5n1h2txyewy System              True
Microsoft.Windows.CapturePicker                cw5n1h2txyewy System              True
Microsoft.Windows.CloudExperienceHost          cw5n1h2txyewy System              True
Microsoft.Windows.ContentDeliveryManager       cw5n1h2txyewy System              True
Microsoft.Windows.DevHome                      8wekyb3d8bbwe Provisioned        False
Microsoft.Windows.NarratorQuickStart           8wekyb3d8bbwe System              True
Microsoft.Windows.OOBENetworkCaptivePortal     cw5n1h2txyewy System              True
Microsoft.Windows.OOBENetworkConnectionFlow    cw5n1h2txyewy System              True
Microsoft.Windows.ParentalControls             cw5n1h2txyewy System              True
Microsoft.Windows.PeopleExperienceHost         cw5n1h2txyewy System              True
Microsoft.Windows.Photos                       8wekyb3d8bbwe Provisioned        False
Microsoft.Windows.PinningConfirmationDialog    cw5n1h2txyewy System              True
Microsoft.Windows.PrintQueueActionCenter       cw5n1h2txyewy System              True
Microsoft.Windows.SecureAssessmentBrowser      cw5n1h2txyewy System              True
Microsoft.Windows.ShellExperienceHost          cw5n1h2txyewy System              True
Microsoft.Windows.StartMenuExperienceHost      cw5n1h2txyewy System              True
Microsoft.Windows.XGpuEjectDialog              cw5n1h2txyewy System              True
Microsoft.WindowsAlarms                        8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsCalculator                    8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsCamera                        8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsFeedbackHub                   8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsNotepad                       8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsSoundRecorder                 8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsStore                         8wekyb3d8bbwe Provisioned        False
Microsoft.WindowsTerminal                      8wekyb3d8bbwe Provisioned        False
Microsoft.Xbox.TCUI                            8wekyb3d8bbwe Provisioned        False
Microsoft.XboxGameCallableUI                   cw5n1h2txyewy System              True
Microsoft.XboxGamingOverlay                    8wekyb3d8bbwe Provisioned        False
Microsoft.XboxIdentityProvider                 8wekyb3d8bbwe Provisioned        False
Microsoft.XboxSpeechToTextOverlay              8wekyb3d8bbwe Provisioned        False
Microsoft.YourPhone                            8wekyb3d8bbwe Provisioned        False
Microsoft.ZuneMusic                            8wekyb3d8bbwe Provisioned        False
MicrosoftCorporationII.QuickAssist             8wekyb3d8bbwe Provisioned        False
MicrosoftWindows.Client.AIX                    cw5n1h2txyewy System              True
MicrosoftWindows.Client.CBS                    cw5n1h2txyewy System              True
MicrosoftWindows.Client.Core                   cw5n1h2txyewy System              True
MicrosoftWindows.Client.FileExp                cw5n1h2txyewy System              True
MicrosoftWindows.Client.OOBE                   cw5n1h2txyewy System              True
MicrosoftWindows.Client.Photon                 cw5n1h2txyewy System              True
MicrosoftWindows.Client.WebExperience          cw5n1h2txyewy Provisioned        False
MicrosoftWindows.CrossDevice                   cw5n1h2txyewy Provisioned        False
MicrosoftWindows.LKG.AccountsService           cw5n1h2txyewy System              True
MicrosoftWindows.LKG.DesktopSpotlight          cw5n1h2txyewy System              True
MicrosoftWindows.LKG.IrisService               cw5n1h2txyewy System              True
MicrosoftWindows.LKG.RulesEngine               cw5n1h2txyewy System              True
MicrosoftWindows.LKG.SpeechRuntime             cw5n1h2txyewy System              True
MicrosoftWindows.LKG.TwinSxS                   cw5n1h2txyewy System              True
MicrosoftWindows.UndockedDevKit                cw5n1h2txyewy System              True
MSTeams                                        8wekyb3d8bbwe Provisioned        False
Windows.CBSPreview                             cw5n1h2txyewy System              True
windows.immersivecontrolpanel                  cw5n1h2txyewy System              True
Windows.PrintDialog                            cw5n1h2txyewy System              True


